Date,Open,High,Low,Close,Adj Close,Volume
2018-02-15,212.347000,237.876999,211.173996,225.425995,225.425995,2087289984
2018-02-16,225.500000,236.087997,212.328995,230.123993,230.123993,1300089984
2018-02-17,229.501999,233.451004,225.602997,229.464996,229.464996,863401024
2018-02-18,230.509003,232.643997,214.457993,215.735992,215.735992,1011120000
2018-02-19,215.414993,226.966995,215.376999,223.057007,223.057007,767596992
2018-02-20,223.087006,253.897995,222.507004,232.850998,232.850998,1739670016
2018-02-21,230.947998,235.410004,208.925003,213.352005,213.352005,1195820032
2018-02-22,212.841003,222.768005,191.809998,195.307999,195.307999,974379008
2018-02-23,194.192993,216.132004,184.070007,209.309006,209.309006,1065680000
2018-02-24,210.636993,220.307007,197.884003,209.421997,209.421997,937312000
2018-02-25,208.132004,225.548996,202.365005,220.475006,220.475006,1028590016
2018-02-26,222.138000,234.417007,218.735992,220.962006,220.962006,1297080064
2018-02-27,221.710007,224.209000,215.841003,216.598999,216.598999,856454016
2018-02-28,217.279007,223.509995,202.705994,202.895004,202.895004,761321984
2018-03-01,203.119003,214.697998,201.542007,209.750000,209.750000,678542016
2018-03-02,209.554993,213.128998,204.880005,212.556000,212.556000,627142016
2018-03-03,213.837997,217.763000,209.537003,210.643005,210.643005,681865984
2018-03-04,210.235992,214.119995,205.363998,213.798996,213.798996,574675008
2018-03-05,213.740005,215.977997,209.248993,211.175003,211.175003,594828992
2018-03-06,210.513000,210.513000,193.156998,196.600998,196.600998,661078016
2018-03-07,196.826004,199.274994,175.647003,185.839005,185.839005,755924992
2018-03-08,185.697998,188.147003,176.173996,176.511002,176.511002,612508992
2018-03-09,176.481003,189.914993,160.425995,187.167999,187.167999,943363968
2018-03-10,188.113007,194.647995,176.535995,177.731995,177.731995,625808000
2018-03-11,177.513000,193.477005,172.470001,188.945999,188.945999,669377984
2018-03-12,189.016006,193.339996,175.875000,178.233994,178.233994,567628992
2018-03-13,177.597000,181.869995,172.257004,175.781998,175.781998,468094016
2018-03-14,175.936996,177.546997,158.630005,161.100998,161.100998,480652992
2018-03-15,161.201996,167.332001,151.479004,164.475998,164.475998,564609024
2018-03-16,164.817001,171.257996,158.990997,165.449997,165.449997,436628000
2018-03-17,165.188004,165.218002,151.057999,152.968994,152.968994,403808992
2018-03-18,152.537003,156.154007,138.018005,154.074005,154.074005,595955008
2018-03-19,155.475006,163.048996,151.662994,161.141998,161.141998,504832992
2018-03-20,161.520996,173.300003,156.815002,168.817001,168.817001,492892000
2018-03-21,169.557007,175.261002,166.615005,169.052002,169.052002,462536000
2018-03-22,168.723007,172.306000,161.113007,163.671997,163.671997,404996992
2018-03-23,163.576996,167.832001,157.263000,167.832001,167.832001,348056000
2018-03-24,168.533997,168.653000,159.630997,159.630997,159.630997,290270016
2018-03-25,158.863998,162.720993,157.520004,160.084000,160.084000,241431008
2018-03-26,160.164993,160.994003,143.123001,149.220993,149.220993,407135008
2018-03-27,148.960999,149.621002,135.779007,135.779007,135.779007,385104000
2018-03-28,135.490005,140.125000,131.033997,131.746994,131.746994,328374016
2018-03-29,131.925003,132.610001,113.933998,114.679001,114.679001,476804000
2018-03-30,114.804001,124.902000,110.257004,118.598000,118.598000,468439008
2018-03-31,118.637001,123.872002,116.183998,116.607002,116.607002,295439008
2018-04-01,116.904999,117.833000,110.523003,115.222000,115.222000,274182016
2018-04-02,115.237000,121.416000,114.719002,119.306000,119.306000,271703008
2018-04-03,119.509003,136.447006,118.584000,134.470001,134.470001,375408992
2018-04-04,133.908005,134.610001,116.583000,118.412003,118.412003,380351008
2018-04-05,118.209000,121.287003,114.468002,119.130997,119.130997,294022016
2018-04-06,118.815002,119.933998,112.787003,113.154999,113.154999,233190000
2018-04-07,113.135002,119.379997,113.095001,116.260002,116.260002,211470000
2018-04-08,116.291000,118.550003,115.946999,117.670998,117.670998,194664000
2018-04-09,117.782997,122.426003,113.324997,114.989998,114.989998,260171008
